3.619999999999999885e-01 6.380000000000031757e-36
3.969333409619580921e-01 1.096052072739143404e-36
4.239138591742430684e-01 3.641088298846923085e-37
4.468061098239516360e-01 1.728964375303642718e-37
4.709474705314808385e-01 8.674830257705392299e-38
4.963880529824027943e-01 4.517135567322289656e-38
5.231777518205451560e-01 2.397726006031540794e-38
5.514119414234436301e-01 1.309168436154911118e-38
5.811950103020500080e-01 7.419528286892463728e-39
7.172098367981297740e-01 1.051721446011260736e-39
7.967463962893085450e-01 2.148397309624100003e-40
8.851267818792966091e-01 4.616381916609629510e-41
9.830993845995429359e-01 1.665197285609107918e-41
1.091987179411919584e+00 5.561064646270565388e-42
1.213313232434230171e+00 1.873221823490194421e-42
1.348131670127217463e+00 9.052737155137158325e-43
1.497443821984651313e+00 5.205303449367781242e-43
1.663199927849926096e+00 3.274893586057419802e-43
1.847929652340694506e+00 2.327295426025673157e-43
2.053161464668573188e+00 1.758534617231061134e-43
2.280845457281137634e+00 1.411365296441705622e-43
2.533985793172488066e+00 1.214433201127176258e-43
2.815112253534484132e+00 1.087897053953171254e-43
3.127176362151645517e+00 1.017302314948700806e-43
4.761915790939608151e+00 1.439340821348431131e-43
5.290174288244197776e+00 1.724977681015045005e-43
5.876882166591397727e+00 2.125992474116524671e-43
6.528469499047997893e+00 2.568681179126743976e-43
7.252472957550410548e+00 3.078803826163663537e-43
8.056850997753404187e+00 3.681847362398363367e-43
8.950616068182119633e+00 4.280186911806520857e-43
9.943255000250170283e+00 4.935688401834155431e-43
1.104478157321366183e+01 5.684913719661891575e-43
1.226805608073259712e+01 6.525381827908554739e-43
1.363099776245304717e+01 7.479629937369928732e-43
1.514414738438582120e+01 8.505406868574779086e-43
1.682173593895707597e+01 9.693964101439694215e-43
1.868906097159512925e+01 1.105253817003133789e-42
2.076140650341397631e+01 1.247924677214115844e-42
2.306301801586253575e+01 1.394985304582088156e-42
2.701000000000000512e+01 1.658000000000007853e-42
