0.002	4.842991e-44
0.003	2.27347e-44
0.004	2.078724e-44
0.005	2.18476e-44
0.006	2.38944e-44
0.007	2.639428e-44
0.008	2.915571e-44
0.009	3.220604e-44
0.01	3.487453e-44
0.02	6.592896e-44
0.03	9.815924e-44
0.04	1.296969e-43
0.05	1.630502e-43
0.06	1.95032e-43
0.07	2.264262e-43
0.08	2.576941e-43
0.09	2.903761e-43
0.1	3.207559e-43
0.2	6.373081e-43
0.3	9.48865e-43
0.4	1.253727e-42
0.5	1.560534e-42
0.6	1.866628e-42
0.7	2.167097e-42
0.8	2.466359e-42
0.9	2.751639e-42
1	3.039521e-42
1.1	3.357522e-42
1.2	3.635715e-42
1.3	3.936959e-42
1.4	4.220953e-42
1.5	4.525433e-42
1.6	4.803838e-42
1.7	5.099371e-42
1.8	5.413085e-42
1.9	5.689206e-42
2	5.979413e-42
2.5	7.44267e-42
3	8.902531e-42
3.5	1.033556e-41
4	1.176283e-41
4.5	1.325466e-41
5	1.464139e-41
5.5	1.601307e-41
6	1.751326e-41
6.5	1.896435e-41
7	2.033235e-41
7.5	2.179903e-41
8	2.337151e-41
8.5	2.480933e-41
9	2.607485e-41
9.5	2.767898e-41
10	2.909089e-41
11	3.181628e-41
12	3.479699e-41
13	3.768016e-41
14	4.039823e-41
15	4.331237e-41
16	4.643672e-41
17	4.929352e-41
18	5.180798e-41
19	5.499522e-41
20	5.780053e-41
22	6.321558e-41
24	6.913795e-41
26	7.48665e-41
28	8.026702e-41
30	8.605711e-41
32	9.226487e-41
34	9.794101e-41
36	1.039664e-40
38	1.092697e-40
40	1.148435e-40
42	1.207017e-40
44	1.268587e-40
46	1.320097e-40
48	1.373698e-40
50	1.443771e-40
550	1.572635e-39
600	1.719968e-39
650	1.862478e-39
700	2.016797e-39
750	2.16228e-39
800	2.295303e-39
850	2.436511e-39
900	2.586405e-39
950	2.718338e-39
1000	2.857e-39
1100	3.155906e-39
1200	3.451568e-39
1300	3.737553e-39
1400	4.007163e-39
1500	4.296221e-39
1600	4.606131e-39
1700	4.8895e-39
1800	5.138914e-39
1900	5.455061e-39
2000	5.733324e-39
2200	6.333156e-39
2400	6.857901e-39
2600	7.426124e-39
2800	8.041428e-39
3000	8.621499e-39
3500	1.000929e-38
4000	1.150542e-38
4500	1.29646e-38
5000	1.432098e-38
6000	1.713001e-38
7000	2.008628e-38
8000	2.286006e-38
9000	2.575929e-38
10000	2.873883e-38
