6	2.79e-45
7	5.98e-46
8	1.85e-46
9	7.72e-47
10	3.76e-47
15	5.65e-48
20	2.67e-48
30	1.58e-48
40	1.38e-48
50	1.40e-48
70	1.56e-48
80	1.70e-48
100	2.00e-48
120	2.24e-48
150	2.73e-48
200	3.49e-48
300	5.18e-48
500	8.20e-48
700	1.16e-47
1000	1.64e-47
3300	5.33e-47
10000	1.60e-46
