3.000000000000000000e+00,1.213520000000000025e-42
4.000000000000000000e+00,4.487500000000000211e-44
5.500000000000000000e+00,2.517509999999999621e-45
6.000000000000000000e+00,1.104529999999999826e-45
9.000000000000000000e+00,4.697170000000000131e-47
1.300000000000000000e+01,7.091959999999999755e-48
1.800000000000000000e+01,2.867290000000000077e-48
2.500000000000000000e+01,1.736250000000000006e-48
4.000000000000000000e+01,1.467930000000000009e-48
5.000000000000000000e+01,1.484179999999999949e-48
7.000000000000000000e+01,1.720279999999999799e-48
9.800000000000000000e+01,2.194300000000000050e-48
2.690000000000000000e+02,4.967029999999999363e-48
5.250000000000000000e+02,8.831199999999999514e-48
2.000000000000000000e+03,3.483289999999999639e-47
