"Benchmark sensitivity (average 90% CL limit in the absence of DM signal) for 10-kg-yr and 1-ton-yr exposures with future SBC detectors. Limits assume sensitivity to 100-eV argon recoils, and are based on Feldman-Cousins sensitivity given a known neutrino CEvNS background.",,
,,
WIMP Mass [GeV],SBC 10kg-LAr Benchmark SI Sensitivity (5-year horizon) [cm^2],SBC ton-scale Benchmark SI Sensitivity (10-year horizon) [cm^2]
204,1.69E-44,1.13E-46
218,1.79E-44,1.19E-46
234,1.89E-44,1.26E-46
251,2.01E-44,1.33E-46
269,2.13E-44,1.41E-46
288,2.25E-44,1.50E-46
309,2.40E-44,1.59E-46
331,2.55E-44,1.69E-46
355,2.70E-44,1.79E-46
381,2.89E-44,1.91E-46
408,3.07E-44,2.03E-46
437,3.28E-44,2.16E-46
469,3.48E-44,2.30E-46
503,3.72E-44,2.45E-46
539,3.97E-44,2.61E-46
578,4.22E-44,2.79E-46
619,4.51E-44,2.97E-46
664,4.81E-44,3.17E-46
712,5.15E-44,3.39E-46
763,5.49E-44,3.62E-46
818,5.88E-44,3.87E-46
877,6.28E-44,4.13E-46
940,6.71E-44,4.41E-46
1010,7.18E-44,4.72E-46
1080,7.67E-44,5.04E-46
1160,8.21E-44,5.39E-46
1240,8.78E-44,5.77E-46
1330,9.39E-44,6.17E-46
1430,1.01E-43,6.60E-46
1530,1.08E-43,7.06E-46
1640,1.15E-43,7.56E-46
1760,1.23E-43,8.09E-46
1880,1.32E-43,8.66E-46
2020,1.41E-43,9.27E-46
2170,1.51E-43,9.92E-46
2320,1.62E-43,1.06E-45
2490,1.74E-43,1.14E-45
2670,1.86E-43,1.22E-45
2860,1.99E-43,1.30E-45
3070,2.13E-43,1.40E-45
3290,2.28E-43,1.50E-45
3520,2.45E-43,1.60E-45
3780,2.62E-43,1.72E-45
4050,2.80E-43,1.84E-45
4340,3.01E-43,1.97E-45
4650,3.23E-43,2.11E-45
4990,3.45E-43,2.26E-45
5350,3.70E-43,2.42E-45
5730,3.95E-43,2.60E-45
6150,4.24E-43,2.78E-45
6590,4.54E-43,2.98E-45
7060,4.86E-43,3.19E-45
7570,5.22E-43,3.42E-45
8120,5.59E-43,3.67E-45
8700,6.00E-43,3.93E-45
9330,6.44E-43,4.21E-45
10000,6.89E-43,4.52E-45
